Año,Trimestre,Provincia,Accesos TV por suscripción
2014,3,La Rioja,24.594
2014,3,Mendoza,116.918
2014,3,Misiones,115.847
2014,3,Neuquén,154.805
2014,3,Río Negro,58.165
2014,3,Salta,166.681
2014,3,San Juan,42.753
2014,3,San Luis,54.824
2014,3,Santa Cruz,43.728
2014,3,Santa Fe,654.067
2014,3,Santiago del Estero,97.796
2014,3,Tierra del Fuego,35.025
2014,3,Tucumán,119.720
2014,2,Buenos Aires,2.477.696
2014,2,Capital Federal,692.311
2014,2,Catamarca,27.382
2014,2,Chaco,85.726
2014,2,Chubut,68.578
2014,2,Córdoba,974.174
2014,2,Corrientes,88.423
2014,2,Entre Ríos,148.123
2014,2,Formosa,46.553
2014,2,Jujuy,71.984
2014,2,La Pampa,76.732
2014,2,La Rioja,25.071
2014,2,Mendoza,116.281
2014,2,Misiones,114.366
2014,2,Neuquén,154.762
2014,2,Río Negro,58.097
2014,2,Salta,166.019
2014,2,San Juan,42.146
2014,2,San Luis,55.697
2014,2,Santa Cruz,46.547
2014,2,Santa Fe,650.114
2014,2,Santiago del Estero,96.849
2014,2,Tierra del Fuego,34.726
2014,2,Tucumán,120.165
2014,1,Buenos Aires,2.363.240
2014,1,Capital Federal,691.440
2014,1,Catamarca,18.239
2014,1,Chaco,88.112
2014,1,Chubut,68.671
2014,1,Córdoba,511.023
2014,1,Corrientes,61.056
2014,1,Entre Ríos,109.137
2014,1,Formosa,30.013
2014,1,Jujuy,64.535
2014,1,La Pampa,67.773
2014,1,La Rioja,25.108
2014,1,Mendoza,106.933
2014,1,Misiones,99.220
2014,1,Neuquén,105.837
2014,1,Río Negro,40.129
2014,1,Salta,123.120
2014,1,San Juan,42.011
2014,1,San Luis,16.869
2014,1,Santa Cruz,21.133
2014,1,Santa Fe,546.523
2014,1,Santiago del Estero,92.972
2014,1,Tierra del Fuego,29.886
2014,1,Tucumán,111.552
