Año,Trimestre,Provincia,Accesos telefonía fija (total),Accesos telefonía fija (hogares),Accesos telefonía fija (comercial),Accesos telefonía fija (gobierno),Accesos telefonía fija (otros)
2019,3,Santa Fe,647.965,580.363,50.884,2.818,13.900
2019,3,Santiago del Estero,69.371,62.133,5.448,302,1.488
2019,3,Tierra del Fuego,25.143,22.521,1.974,109,539
2019,3,Tucumán,192.297,172.235,15.101,836,4.125
2019,2,Buenos Aires,3.348.525,2.994.702,266.943,14.902,71.978
2019,2,Capital Federal,1.478.871,1.322.606,117.895,6.581,31.789
2019,2,Catamarca,31.113,27.826,2.480,138,669
2019,2,Chaco,86.928,77.742,6.930,387,1.869
2019,2,Chubut,81.784,73.142,6.520,364,1.758
2019,2,Córdoba,604.424,540.558,48.184,2.690,12.992
2019,2,Corrientes,89.969,80.463,7.172,400,1.934
2019,2,Entre Ríos,191.513,171.277,15.267,852,4.117
2019,2,Formosa,35.319,31.587,2.816,157,759
2019,2,Jujuy,49.460,44.234,3.943,220,1.063
2019,2,La Pampa,71.332,63.795,5.687,317,1.533
2019,2,La Rioja,28.349,25.354,2.260,126,609
2019,2,Mendoza,218.661,195.556,17.432,973,4.700
2019,2,Misiones,93.753,83.847,7.474,417,2.015
2019,2,Neuquén,78.963,70.620,6.295,351,1.697
2019,2,Río Negro,91.113,81.486,7.263,405,1.959
2019,2,Salta,110.873,99.158,8.839,493,2.383
2019,2,San Juan,80.524,72.016,6.419,358,1.731
2019,2,San Luis,37.794,33.801,3.013,168,812
2019,2,Santa Cruz,30.409,27.196,2.424,135,654
2019,2,Santa Fe,643.060,575.111,51.264,2.862,13.823
2019,2,Santiago del Estero,68.405,61.178,5.453,304,1.470
2019,2,Tierra del Fuego,24.283,21.717,1.936,108,522
2019,2,Tucumán,187.391,167.590,14.939,834,4.028
2019,1,Buenos Aires,3.563.157,3.149.299,280.518,14.901,118.439
2019,1,Capital Federal,1.599.798,1.413.982,125.948,6.691,53.177
2019,1,Catamarca,36.178,31.976,2.848,151,1.203
2019,1,Chaco,93.703,82.819,7.377,392,3.115
2019,1,Chubut,88.768,78.458,6.988,371,2.951
2019,1,Córdoba,656.248,580.025,51.665,2.744,21.814
2019,1,Corrientes,95.050,84.010,7.483,398,3.159
2019,1,Entre Ríos,203.743,180.079,16.040,852,6.772
2019,1,Formosa,37.799,33.409,2.976,158,1.256
2019,1,Jujuy,51.824,45.804,4.080,217,1.723
2019,1,La Pampa,65.887,58.234,5.187,276,2.190
2019,1,La Rioja,32.830,29.017,2.585,137,1.091
2019,1,Mendoza,241.006,213.013,18.974,1.008,8.011
2019,1,Misiones,101.672,89.863,8.004,425,3.380
2019,1,Neuquén,83.521,73.821,6.575,349,2.776
2019,1,Río Negro,100.373,88.715,7.902,420,3.336
2019,1,Salta,122.902,108.627,9.676,514,4.085
2019,1,San Juan,85.905,75.928,6.763,359,2.855
2019,1,San Luis,42.908,37.925,3.378,179,1.426
2019,1,Santa Cruz,34.171,30.202,2.690,143,1.136
2019,1,Santa Fe,685.178,605.596,53.942,2.865,22.775
2019,1,Santiago del Estero,72.886,64.420,5.738,305,2.423
2019,1,Tierra del Fuego,25.181,22.257,1.982,105,837
2019,1,Tucumán,206.715,182.705,16.274,865,6.871
2018,4,Buenos Aires,4.558.545,4.074.597,332.712,18.514,132.722
