Año,Trimestre,Provincia,Accesos telefonía fija por cada 100 hab,Accesos telefonía fija por cada 100 hogares
2018,1,Chaco,842,3.150
2018,1,Chubut,1.916,6.250
2018,1,Córdoba,1.885,6.155
2018,1,Corrientes,907,3.444
2018,1,Entre Ríos,1.590,5.319
2018,1,Formosa,676,2.656
2018,1,Jujuy,723,2.827
2018,1,La Pampa,2.142,6.502
2018,1,La Rioja,943,3.543
2018,1,Mendoza,1.856,6.649
2018,1,Misiones,842,3.090
2018,1,Neuquén,1.510,5.072
2018,1,Río Negro,1.928,6.269
2018,1,Salta,970,4.003
2018,1,San Juan,1.512,5.937
2018,1,San Luis,898,3.138
2018,1,Santa Cruz,1.283,4.311
2018,1,Santa Fe,1.984,6.311
2018,1,Santiago del Estero,598,2.411
2018,1,Tierra del Fuego,2.041,6.883
2018,1,Tucumán,1.303,5.262
2018,2,Buenos Aires,2.606,8.031
2018,2,Capital Federal,5.681,13.561
2018,2,Catamarca,936,3.678
2018,2,Chaco,831,3.108
2018,2,Chubut,1.958,6.388
2018,2,Córdoba,1.858,6.068
2018,2,Corrientes,900,3.417
2018,2,Entre Ríos,1.572,5.257
2018,2,Formosa,668,2.625
2018,2,Jujuy,712,2.785
2018,2,La Pampa,2.150,6.525
2018,2,La Rioja,919,3.451
2018,2,Mendoza,1.851,6.632
2018,2,Misiones,877,3.221
2018,2,Neuquén,1.504,5.051
2018,2,Río Negro,1.921,6.245
2018,2,Salta,951,3.927
2018,2,San Juan,1.508,5.921
2018,2,San Luis,895,3.128
2018,2,Santa Cruz,1.276,4.288
2018,2,Santa Fe,1.970,6.264
2018,2,Santiago del Estero,577,2.323
2018,2,Tierra del Fuego,2.028,6.838
2018,2,Tucumán,1.297,5.234
2018,3,Buenos Aires,2.608,8.019
2018,3,Capital Federal,5.786,13.828
2018,3,Catamarca,927,3.643
2018,3,Chaco,775,2.899
2018,3,Chubut,1.949,6.359
2018,3,Córdoba,1.828,5.971
2018,3,Corrientes,860,3.265
2018,3,Entre Ríos,1.469,4.914
2018,3,Formosa,661,2.598
2018,3,Jujuy,702,2.747
2018,3,La Pampa,2.145,6.511
2018,3,La Rioja,900,3.379
2018,3,Mendoza,1.846,6.615
2018,3,Misiones,841,3.087
2018,3,Neuquén,1.498,5.034
2018,3,Río Negro,1.914,6.222
2018,3,Salta,931,3.845
